wnum_cm-1,wavelength_um,freq_Hz,freq_GHz,n,k,R,D
74.0,167.662,2218464189200.0,2218.4641892,0.979,8.5,0.9485862809317819,0.05141371906821812
73.0,169.959,2188484943400.0,2188.4849434,0.977,8.57,0.9494786456072942,0.050521354392705775
72.0,172.32,2158505697600.0,2158.5056976,0.975,8.68,0.9507843119315548,0.04921568806844523
71.0,174.747,2128526451800.0,2128.5264518,0.974,8.81,0.9522038115840884,0.0477961884159116
70.0,177.243,2098547206000.0,2098.547206,0.972,8.93,0.9535115540288767,0.04648844597112334
68.0,182.456,2038588714400.0,2038.5887144,0.968,9.27,0.9568848041694888,0.043115195830511155
66.0,187.985,1978630222800.0,1978.6302228,0.967,0.0963,0.002671923909210255,0.9973280760907898
64.0,193.859,1918671731200.0,1918.6717312,0.965,0.102,0.0030036452356359566,0.996996354764364
62.0,200.113,1858713239600.0,1858.7132396,0.965,0.107,0.003272674126456295,0.9967273258735437
60.0,206.783,1798754748000.0,1798.754748,0.966,0.109,0.0033626194436627774,0.9966373805563372
58.0,213.914,1738796256400.0,1738.7962564,0.964,0.11,0.0034620390365834876,0.9965379609634165
56.0,221.554,1678837764800.0,1678.8377648,0.96,0.114,0.0037866484581004093,0.9962133515418996
54.0,229.759,1618879273200.0,1618.8792732,0.957,0.12,0.004226833381500523,0.9957731666184995
52.0,238.596,1558920781600.0,1558.9207816,0.954,0.126,0.004692758878996097,0.9953072411210039
50.0,248.14,1498962290000.0,1498.96229,0.953,0.134,0.005262038560448209,0.9947379614395518
48.0,258.479,1439003798400.0,1439.0037984,0.952,0.14,0.005719203405620613,0.9942807965943794
46.0,269.717,1379045306800.0,1379.0453068,0.951,0.146,0.006196121604601385,0.9938038783953986
44.0,281.977,1319086815200.0,1319.0868152,0.948,0.151,0.006681065250733137,0.9933189347492669
42.0,295.405,1259128323600.0,1259.1283236,0.942,0.157,0.0073795848433606545,0.9926204151566393
40.0,310.175,1199169832000.0,1199.169832,0.934,0.167,0.00855703384466774,0.9914429661553322
38.0,326.5,1139211340400.0,1139.2113404,0.927,0.18,0.010072538616648452,0.9899274613833515
36.0,344.639,1079252848800.0,1079.2528488,0.922,0.193,0.01161327600618867,0.9883867239938113
34.0,364.912,1019294357200.0,1019.2943572,0.91,0.205,0.013583550692727207,0.9864164493072728
32.0,387.719,959335865600.0,959.3358656,0.891,0.223,0.01699300255681113,0.9830069974431889
