Freq,Ephi,IWavePhi,IWaveTheta,OutgoingPower,IngoingPower,X,Y,Z,Ex_real,Ey_real,Ez_real,Ex_imag,Ey_imag,Ez_imag
500GHz,1,0.0,0.0,6.87500943773938e-45,6.636046824471356e-10,0.0,-0.005,-2.5e-05,1.9802841402947195e-20,-1.4572731450520748e-20,-2.5698947070179265e-20,1.7528565175845607e-20,-8.982381978898628e-21,-1.7604227927729137e-20
500GHz,1,0.0,0.0,6.87500943773938e-45,6.636046824471356e-10,0.0,-0.005,-2.4e-05,1.8343096350923347e-20,-1.3296675559471534e-20,-2.4914466641570636e-20,1.632731057894553e-20,-9.361734262356817e-21,-1.6771951224147915e-20
500GHz,1,0.0,0.0,6.87500943773938e-45,6.636046824471356e-10,0.0,-0.005,-2.3e-05,1.693898724855948e-20,-1.2078381887842338e-20,-2.412747808118576e-20,1.5141292165050896e-20,-9.728113888184374e-21,-1.5945117475848438e-20
500GHz,1,0.0,0.0,6.87500943773938e-45,6.636046824471356e-10,0.0,-0.005,-2.2e-05,1.559051409585435e-20,-1.0917850435632096e-20,-2.3337981389023857e-20,1.3970509934160688e-20,-1.0081520856381502e-20,-1.5123726682829947e-20
500GHz,1,0.0,0.0,6.87500943773938e-45,6.636046824471356e-10,0.0,-0.005,-2.1000000000000002e-05,1.4297676892807954e-20,-9.815081202840805e-21,-2.254597656508494e-20,1.2814963886274906e-20,-1.0421955166948206e-20,-1.4307778845092447e-20
500GHz,1,0.0,0.0,6.87500943773938e-45,6.636046824471356e-10,0.0,-0.005,-2e-05,1.3060475639420275e-20,-8.770074189468451e-21,-2.1751463609368985e-20,1.1674654021393536e-20,-1.0749416819884486e-20,-1.3497273962635931e-20
500GHz,1,0.0,0.0,6.87500943773938e-45,6.636046824471356e-10,0.0,-0.005,-1.9e-05,1.187891033569133e-20,-7.782829395515045e-21,-2.0954442521876008e-20,1.0549580339516588e-20,-1.1063905815190348e-20,-1.26922120354604e-20
500GHz,1,0.0,0.0,6.87500943773938e-45,6.636046824471356e-10,0.0,-0.005,-1.8e-05,1.0752980981621117e-20,-6.853346820980585e-21,-2.0154913302606008e-20,9.43974284064406e-21,-1.1365422152865786e-20,-1.1892593063565861e-20
500GHz,1,0.0,0.0,6.87500943773938e-45,6.636046824471356e-10,0.0,-0.005,-1.7e-05,9.682687577209629e-21,-5.981626465865074e-21,-1.9352875951558974e-20,8.345141524775951e-21,-1.1653965832910792e-20,-1.1098417046952304e-20
500GHz,1,0.0,0.0,6.87500943773938e-45,6.636046824471356e-10,0.0,-0.005,-1.6000000000000003e-05,8.668030122456882e-21,-5.1676683301685134e-21,-1.8548330468734927e-20,7.26577639191227e-21,-1.1929536855325381e-20,-1.0309683985619741e-20
500GHz,1,0.0,0.0,6.87500943773938e-45,6.636046824471356e-10,0.0,-0.005,-1.5000000000000002e-05,7.709008617362865e-21,-4.4114724138909016e-21,-1.7741276854133857e-20,6.201647442053013e-21,-1.2192135220109546e-20,-9.526393879568169e-21
500GHz,1,0.0,0.0,6.87500943773938e-45,6.636046824471356e-10,0.0,-0.005,-1.4000000000000001e-05,6.805623061927568e-21,-3.713038717032228e-21,-1.6931715107755753e-20,5.152754675198166e-21,-1.2441760927263287e-20,-8.748546728797576e-21
500GHz,1,0.0,0.0,6.87500943773938e-45,6.636046824471356e-10,0.0,-0.005,-1.3000000000000001e-05,5.957873456151001e-21,-3.0723672395925006e-21,-1.6119645229600617e-20,4.119098091347737e-21,-1.2678413976786602e-20,-7.976142533307968e-21
500GHz,1,0.0,0.0,6.87500943773938e-45,6.636046824471356e-10,0.0,-0.005,-1.2000000000000002e-05,5.165759800033174e-21,-2.489457981571728e-21,-1.5305067219668468e-20,3.1006776905017407e-21,-1.2902094368679498e-20,-7.209181293099358e-21
500GHz,1,0.0,0.0,6.87500943773938e-45,6.636046824471356e-10,0.0,-0.005,-1.1000000000000001e-05,4.429282093574072e-21,-1.9643109429698982e-21,-1.4487981077959287e-20,2.0974934726601587e-21,-1.3112802102941965e-20,-6.447663008171729e-21
