Freq,Ephi,IWavePhi,IWaveTheta,OutgoingPower,IngoingPower,X,Y,Z,Ex_real,Ey_real,Ez_real,Ex_imag,Ey_imag,Ez_imag
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.005,-3.3881317890172014e-21,-8.602581804652935e-34,6.629569069267587e-35,-5.38769735960447e-20,7.396113308238137e-21,4.621881133707427e-20,1.94265447459171e-20
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.005,9.999999999999972e-07,-1.5330211824383823e-21,1.068987224892603e-22,-5.545878664768064e-20,6.83060010989342e-21,4.771825923014916e-20,1.9057823048486643e-20
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.005,1.999999999999998e-06,-3.1774406925139185e-21,1.8336124938245204e-22,-5.70072560073972e-20,6.26252835637489e-21,4.9178065243191893e-20,1.8676621208284636e-20
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.005,2.9999999999999984e-06,-4.933258530227453e-21,2.293875806796436e-22,-5.852238167519437e-20,5.6918980476825414e-21,5.059822937620242e-20,1.8282939225311067e-20
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.005,3.999999999999999e-06,-6.800474695579026e-21,2.4497771638083153e-22,-6.000416365107219e-20,5.11870918381638e-21,5.197875162918084e-20,1.7876777099565952e-20
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.005,4.999999999999996e-06,-8.77908918856858e-21,2.3013165648601786e-22,-6.145260193503062e-20,4.542961764776412e-21,5.331963200212706e-20,1.7458134831049285e-20
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.005,6e-06,-1.0869102009196157e-20,1.8484940099520137e-22,-6.286769652706967e-20,3.964655790562629e-21,5.462087049504112e-20,1.7027012419761075e-20
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.005,6.999999999999997e-06,-1.307051315746173e-20,1.0913094990838527e-22,-6.424944742718934e-20,3.3837912611750315e-21,5.588246710792301e-20,1.65834098657013e-20
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.005,7.999999999999995e-06,-1.5383322633365333e-20,2.9763032255642888e-24,-6.559785463538966e-20,2.800368176613623e-21,5.710442184077275e-20,1.6127327168869988e-20
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.005,8.999999999999999e-06,-1.7807530436906938e-20,-1.336145390532565e-22,-6.691291815167055e-20,2.2143865368783956e-21,5.82867346935903e-20,1.5658764329267106e-20
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.005,9.999999999999996e-06,-2.0343136568086562e-20,-3.006415769280814e-22,-6.819463797603213e-20,1.6258463419693631e-21,5.942940566637573e-20,1.5177721346892693e-20
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.005,1.1e-05,-2.2990141026904193e-20,-4.981048103989078e-22,-6.944301410847431e-20,1.0347475918865147e-21,6.053243475912898e-20,1.468419822174672e-20
